Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Desulfomicrobium thermophilum strain MM26 16S ribosomal RNA gene, partial sequence",Thermodesulfomicrobium thermophilum,99.0,284,11%,2e-15,96.67,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG907122.1?report=genbank&log$=nucltop&blast_rank=45&RID=4BMC37FV013"",""MG907122.1"")"
"Uncultured Raoultella sp. AH11 gene for 16S ribosomal RNA, partial sequence",uncultured Raoultella sp.,99.0,654,28%,2e-15,96.67,1300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC342828.1?report=genbank&log$=nucltop&blast_rank=46&RID=4BMC37FV013"",""LC342828.1"")"
"Uncultured Raoultella sp. AB18 gene for 16S ribosomal RNA, partial sequence",uncultured Raoultella sp.,99.0,654,28%,2e-15,96.67,1304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC342827.1?report=genbank&log$=nucltop&blast_rank=47&RID=4BMC37FV013"",""LC342827.1"")"
"Uncultured Raoultella sp. AB11 gene for 16S ribosomal RNA, partial sequence",uncultured Raoultella sp.,99.0,654,28%,2e-15,96.67,1300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC342816.1?report=genbank&log$=nucltop&blast_rank=48&RID=4BMC37FV013"",""LC342816.1"")"
"Leclercia adecarboxylata strain B4 16S ribosomal RNA gene, partial sequence",Leclercia adecarboxylata,99.0,839,35%,2e-15,96.67,1487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF772443.1?report=genbank&log$=nucltop&blast_rank=49&RID=4BMC37FV013"",""MF772443.1"")"
"Salicola marasensis strain CEJTB35 16S ribosomal RNA gene, partial sequence",Salicola marasensis,99.0,181,8%,2e-15,98.25,1423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY129979.1?report=genbank&log$=nucltop&blast_rank=50&RID=4BMC37FV013"",""KY129979.1"")"
"Klebsiella aerogenes strain BGRI-SK9 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,99.0,736,31%,2e-15,96.67,1478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF928878.1?report=genbank&log$=nucltop&blast_rank=51&RID=4BMC37FV013"",""MF928878.1"")"
"Raoultella planticola strain CAU1091 16S ribosomal RNA gene, partial sequence",Raoultella planticola,99.0,654,28%,2e-15,96.67,1287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF429011.1?report=genbank&log$=nucltop&blast_rank=52&RID=4BMC37FV013"",""MF429011.1"")"
"Enterococcus faecium strain CAU8151 16S ribosomal RNA gene, partial sequence",Enterococcus faecium,99.0,551,24%,2e-15,96.67,1142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF428639.1?report=genbank&log$=nucltop&blast_rank=53&RID=4BMC37FV013"",""MF428639.1"")"
"Uncultured bacterium isolate DGGE gel band 16_dgge_conti_thermo_fe 16S ribosomal RNA gene, partial sequence",uncultured bacterium,99.0,99.0,4%,2e-15,98.25,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KU234512.1?report=genbank&log$=nucltop&blast_rank=54&RID=4BMC37FV013"",""KU234512.1"")"
"Citrobacter amalonaticus strain IRN16 16S ribosomal RNA gene, partial sequence",Citrobacter amalonaticus,99.0,654,27%,2e-15,96.67,1378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF348183.1?report=genbank&log$=nucltop&blast_rank=55&RID=4BMC37FV013"",""MF348183.1"")"
"Citrobacter youngae strain ZF2 16S ribosomal RNA gene, partial sequence",Citrobacter youngae,99.0,562,24%,2e-15,96.67,1382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX639818.1?report=genbank&log$=nucltop&blast_rank=56&RID=4BMC37FV013"",""KX639818.1"")"
"Uncultured Citrobacter sp. clone 7428 16S ribosomal RNA gene, partial sequence",uncultured Citrobacter sp.,99.0,284,11%,2e-15,96.67,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY767379.1?report=genbank&log$=nucltop&blast_rank=57&RID=4BMC37FV013"",""KY767379.1"")"
"Uncultured Citrobacter sp. clone 7419 16S ribosomal RNA gene, partial sequence",uncultured Citrobacter sp.,99.0,284,11%,2e-15,96.67,815,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY767370.1?report=genbank&log$=nucltop&blast_rank=58&RID=4BMC37FV013"",""KY767370.1"")"
"Uncultured Citrobacter sp. clone 7418 16S ribosomal RNA gene, partial sequence",uncultured Citrobacter sp.,99.0,284,11%,2e-15,96.67,814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY767369.1?report=genbank&log$=nucltop&blast_rank=59&RID=4BMC37FV013"",""KY767369.1"")"
"Uncultured Citrobacter sp. clone 7416 16S ribosomal RNA gene, partial sequence",uncultured Citrobacter sp.,99.0,284,11%,2e-15,96.67,823,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY767367.1?report=genbank&log$=nucltop&blast_rank=60&RID=4BMC37FV013"",""KY767367.1"")"
"Uncultured Enterobacteriaceae bacterium partial 16S rRNA gene, isolate 94T_10828",uncultured Enterobacteriaceae bacterium,99.0,544,23%,2e-15,98.25,759,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT685413.1?report=genbank&log$=nucltop&blast_rank=61&RID=4BMC37FV013"",""LT685413.1"")"
"Uncultured bacterium clone EzlYy222 16S ribosomal RNA gene, partial sequence",uncultured bacterium,99.0,261,12%,2e-15,98.25,1477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX173038.1?report=genbank&log$=nucltop&blast_rank=62&RID=4BMC37FV013"",""KX173038.1"")"
"Enterobacter hormaechei strain 189B 16S ribosomal RNA gene, partial sequence",Enterobacter hormaechei,99.0,562,24%,2e-15,96.67,1179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY426036.1?report=genbank&log$=nucltop&blast_rank=63&RID=4BMC37FV013"",""KY426036.1"")"
"Uncultured bacterium clone Otu02878 16S ribosomal RNA gene, partial sequence",uncultured bacterium,99.0,267,12%,2e-15,98.25,465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX997636.1?report=genbank&log$=nucltop&blast_rank=64&RID=4BMC37FV013"",""KX997636.1"")"
"Uncultured bacterium clone Otu04977 16S ribosomal RNA gene, partial sequence",uncultured bacterium,99.0,256,12%,2e-15,98.25,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX994881.1?report=genbank&log$=nucltop&blast_rank=65&RID=4BMC37FV013"",""KX994881.1"")"
"Klebsiella grimontii strain ZHA15 16S ribosomal RNA gene, partial sequence",Klebsiella grimontii,99.0,747,31%,2e-15,96.67,1417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP514819.1?report=genbank&log$=nucltop&blast_rank=66&RID=4BMC37FV013"",""OP514819.1"")"
"Klebsiella grimontii strain ZHA5 16S ribosomal RNA gene, partial sequence",Klebsiella grimontii,99.0,747,31%,2e-15,96.67,1417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP514809.1?report=genbank&log$=nucltop&blast_rank=67&RID=4BMC37FV013"",""OP514809.1"")"
"Klebsiella oxytoca strain ZHA1 16S ribosomal RNA gene, partial sequence",Klebsiella oxytoca,99.0,747,31%,2e-15,96.67,1408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP514805.1?report=genbank&log$=nucltop&blast_rank=68&RID=4BMC37FV013"",""OP514805.1"")"
"Raoultella sp. strain DS2-1 16S ribosomal RNA gene, partial sequence",Raoultella sp.,99.0,736,31%,2e-15,96.67,1388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP493216.1?report=genbank&log$=nucltop&blast_rank=69&RID=4BMC37FV013"",""OP493216.1"")"
"Klebsiella quasipneumoniae strain PKI11 16S ribosomal RNA gene, partial sequence",Klebsiella quasipneumoniae,99.0,562,24%,2e-15,92.75,1438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP048851.1?report=genbank&log$=nucltop&blast_rank=70&RID=4BMC37FV013"",""OP048851.1"")"
"Uncultured bacterium clone 22-38 16S ribosomal RNA gene, partial sequence",uncultured bacterium,99.0,839,35%,2e-15,98.25,1382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ352349.1?report=genbank&log$=nucltop&blast_rank=71&RID=4BMC37FV013"",""MZ352349.1"")"
"Pantoea sp. strain HGJ11 16S ribosomal RNA gene, partial sequence",Pantoea sp.,99.0,562,24%,2e-15,96.67,1364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON786688.1?report=genbank&log$=nucltop&blast_rank=72&RID=4BMC37FV013"",""ON786688.1"")"
"Klebsiella aerogenes strain B6 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,99.0,542,23%,2e-15,96.67,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON411274.1?report=genbank&log$=nucltop&blast_rank=73&RID=4BMC37FV013"",""ON411274.1"")"
"Citrobacter freundii strain TRL-37 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,562,24%,2e-15,96.67,1227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON197522.1?report=genbank&log$=nucltop&blast_rank=74&RID=4BMC37FV013"",""ON197522.1"")"
"Klebsiella aerogenes strain RTJM03 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,99.0,463,20%,2e-15,96.67,1306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM944043.1?report=genbank&log$=nucltop&blast_rank=75&RID=4BMC37FV013"",""OM944043.1"")"
"Uncultured Enterobacter sp. clone OTU_1221 16S ribosomal RNA gene, partial sequence",uncultured Enterobacter sp.,99.0,258,12%,2e-15,90.91,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM537369.1?report=genbank&log$=nucltop&blast_rank=76&RID=4BMC37FV013"",""OM537369.1"")"
"Raoultella sp. strain BT3MT 16S ribosomal RNA gene, partial sequence",Raoultella sp.,99.0,562,24%,2e-15,96.67,1432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL662827.1?report=genbank&log$=nucltop&blast_rank=77&RID=4BMC37FV013"",""OL662827.1"")"
"Raoultella ornithinolytica strain IGB11 16S ribosomal RNA gene, partial sequence",Raoultella ornithinolytica,99.0,99.0,4%,2e-15,96.67,750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK161300.1?report=genbank&log$=nucltop&blast_rank=78&RID=4BMC37FV013"",""OK161300.1"")"
"Citrobacter freundii strain WHS63 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,712,31%,2e-15,96.67,1203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK067299.1?report=genbank&log$=nucltop&blast_rank=79&RID=4BMC37FV013"",""OK067299.1"")"
"Enterobacter bugandensis strain WHS62 16S ribosomal RNA gene, partial sequence",Enterobacter bugandensis,99.0,284,11%,2e-15,96.67,1124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK067298.1?report=genbank&log$=nucltop&blast_rank=80&RID=4BMC37FV013"",""OK067298.1"")"
"Salmonella enterica subsp. enterica strain H36 chromosome, complete genome",Salmonella enterica subsp. enterica,99.0,1960,38%,2e-15,100.00,4938496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073331.1?report=genbank&log$=nucltop&blast_rank=81&RID=4BMC37FV013"",""CP073331.1"")"
"Enterobacter mori strain XJCPB19 16S ribosomal RNA gene, partial sequence",Enterobacter mori,99.0,99.0,4%,2e-15,96.67,857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW658709.1?report=genbank&log$=nucltop&blast_rank=82&RID=4BMC37FV013"",""MW658709.1"")"
"Pantoea agglomerans strain XJCPB18 16S ribosomal RNA gene, partial sequence",Pantoea agglomerans,99.0,99.0,4%,2e-15,96.67,840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW658708.1?report=genbank&log$=nucltop&blast_rank=83&RID=4BMC37FV013"",""MW658708.1"")"
"Uncultured Candidatus Thioglobus sp. clone 16197_3_4 16S ribosomal RNA gene, partial sequence",uncultured Candidatus Thioglobus sp.,99.0,284,12%,2e-15,98.25,1336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW647592.1?report=genbank&log$=nucltop&blast_rank=84&RID=4BMC37FV013"",""MW647592.1"")"
"Klebsiella oxytoca strain 5/ 16S ribosomal RNA gene, partial sequence",Klebsiella oxytoca,99.0,747,31%,2e-15,96.67,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW599815.1?report=genbank&log$=nucltop&blast_rank=85&RID=4BMC37FV013"",""MW599815.1"")"
"Citrobacter freundii strain PYI-2 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,99.0,839,35%,2e-15,96.67,1508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT039504.1?report=genbank&log$=nucltop&blast_rank=86&RID=4BMC37FV013"",""MT039504.1"")"
"Citrobacter portucalensis strain YPI-2 16S ribosomal RNA gene, partial sequence",Citrobacter portucalensis,99.0,839,35%,2e-15,96.67,1508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN744335.1?report=genbank&log$=nucltop&blast_rank=87&RID=4BMC37FV013"",""MN744335.1"")"
